postcode,year,scenario,state,ev_count,total_upstream_gb,hour_00_mbps,hour_01_mbps,hour_02_mbps,hour_03_mbps,hour_04_mbps,hour_05_mbps,hour_06_mbps,hour_07_mbps,hour_08_mbps,hour_09_mbps,hour_10_mbps,hour_11_mbps,hour_12_mbps,hour_13_mbps,hour_14_mbps,hour_15_mbps,hour_16_mbps,hour_17_mbps,hour_18_mbps,hour_19_mbps,hour_20_mbps,hour_21_mbps,hour_22_mbps,hour_23_mbps
6452,2037,MEDIUM,WA,1,5.6034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6460,2027,HIGH,WA,75,104.2683,9.9,9.9651,9.9388,7.5322,0.9,0.9498,0.9322,0.9,0.9,4.0628,0.9689,0.9682,6.4075,27.9521,18.9377,25.4328,10.655,7.8096,13.3228,5.4503,16.1084,28.9776,15.3185,12.9781
6460,2027,MEDIUM,WA,3,0.0446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.0,0.0,0.0,0.0525,0.0,0.0196,0.0,0.0,0.0,0.0,0.0
6460,2032,HIGH,WA,401,698.6739,28.3725,14.0148,8.1,7.9119,15.4296,7.6529,3.4313,3.756,8.1519,7.4042,21.0796,16.7686,30.008,40.2016,95.3146,118.698,159.628,93.2054,159.809,160.2053,121.1903,143.4874,210.9565,110.0496
6460,2032,LOW,WA,58,74.6408,5.0818,18.2247,0.0,0.0395,0.0,0.0,0.0,0.0,0.0,0.0,8.6711,0.0,25.3438,2.3927,2.7107,5.253,0.1908,17.329,14.004,14.8765,1.3927,26.5008,9.756,18.082
6460,2032,MEDIUM,WA,83,148.4448,9.427,0.9,15.0603,7.3399,0.9,0.9,0.933,0.9337,4.3469,3.5318,0.9333,0.9406,1.0172,7.8367,11.8138,26.4717,5.0842,5.461,7.1133,22.6605,82.3671,63.4289,41.504,16.8897
6460,2037,HIGH,WA,796,1833.9443,200.6747,77.4065,61.4615,36.6054,25.318,41.6865,74.4405,47.2481,45.3212,26.0446,35.4915,51.8913,81.9953,110.357,211.0534,283.216,370.6605,325.0298,297.5264,505.2654,343.1926,388.4289,288.8833,237.8314
6460,2037,LOW,WA,322,546.5088,35.3634,20.0382,16.0143,14.3627,13.5,11.2671,8.0122,11.7214,3.6564,3.636,5.4013,32.3763,61.9373,46.5571,66.9796,43.361,74.2856,107.3941,119.3168,79.0492,121.064,206.6606,86.4739,50.3731
6460,2037,MEDIUM,WA,407,753.027,48.1542,30.7887,15.3728,11.6547,39.628,8.6539,8.1,17.927,20.7,9.967,9.5136,49.4659,36.526,49.0761,132.4431,156.5248,156.4606,111.496,136.3551,165.9112,158.3834,146.2458,109.6058,84.6014
6461,2027,HIGH,WA,61,132.7102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.0,9.265,18.9795,16.1455,19.7761,12.3893,19.2173,22.6442,24.5799,26.0077,67.2687,38.5376,15.47,11.4262,0.2491
6461,2027,MEDIUM,WA,1,0.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6461,2032,HIGH,WA,344,568.7137,41.0195,19.6411,13.2237,10.9268,10.8215,10.8,9.2785,1.8,1.8296,20.1896,15.6638,5.4451,36.1269,31.6248,53.9009,77.8053,37.7967,94.1856,119.8225,138.0101,100.7066,169.8295,158.9025,114.7893
6461,2032,LOW,WA,52,49.6976,0.0,0.0,0.0,0.0,0.0,0.1029,0.0677,0.0297,0.0,7.0394,0.843,0.0,0.2487,0.0724,2.5051,3.3573,34.6681,0.1895,2.7764,24.1811,5.0783,12.102,9.5417,10.2863
6461,2032,MEDIUM,WA,69,190.4024,23.2267,13.1777,5.4,5.4469,9.0305,5.9699,11.8009,5.4,5.4,18.7421,8.3924,0.9523,0.9,16.3175,0.9518,1.0135,13.6483,29.1536,76.3068,52.9326,37.3443,43.6749,36.7339,8.2612
6461,2037,HIGH,WA,689,1175.5397,92.8369,62.1677,103.7882,51.2006,22.3137,26.8711,6.9467,7.1671,7.2867,30.6557,41.7025,63.7485,64.6643,60.7324,73.6302,149.0491,177.5194,265.7847,298.9878,264.6967,221.8685,275.0917,198.5034,96.0608
6461,2037,LOW,WA,279,586.9444,78.3483,37.2838,22.1826,10.3877,9.0351,5.5642,4.5,4.6045,3.7877,3.657,24.4214,14.6429,16.6747,52.9711,50.7782,104.0454,111.2219,125.9701,80.6655,114.7901,184.3799,119.6174,41.3045,63.4309
6461,2037,MEDIUM,WA,352,573.9201,4.7745,13.3409,15.4671,16.3142,9.282,9.0381,25.188,5.0732,10.3698,10.9379,2.8381,9.4239,28.4053,79.4216,113.5577,79.3474,159.8264,173.5269,89.9049,124.7963,128.9321,72.8914,84.4889,38.8403
6462,2027,HIGH,WA,13,33.5002,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7228,0.063,0.0,20.0511,0.0286,0.0766,5.1647,0.0,20.6275,3.4184,0.0
6462,2027,LOW,WA,9,28.6931,2.2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6983,17.6399,15.3615,0.0,8.5617,0.0275,0.0,0.0,18.7595
6462,2027,MEDIUM,WA,7,13.1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415,0.0,0.0,0.0,0.0,5.4169,0.0,0.0,9.7364,0.9222,4.5,4.5,4.5431,0.2161
6462,2032,HIGH,WA,38,84.2839,1.8,1.8,1.8,1.8564,1.8,1.8,1.8,1.8,1.8,1.854,1.8,1.8,1.8441,3.7659,8.2755,7.4147,14.7556,6.9735,13.9922,21.6612,27.9554,20.8575,18.4332,2.7575
6462,2032,LOW,WA,11,20.7744,4.9931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4141,4.5383,4.5,4.5,4.5,4.5472,1.192,1.7029,5.5159,0.0474,0.0403,0.0719,0.0,8.7101
6462,2032,MEDIUM,WA,16,55.4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492,9.2291,20.0059,2.267,0.0309,9.7071,12.5593,9.0543,0.5892,25.7001,18.8609,16.1194,2.0737,0.0
6462,2037,HIGH,WA,69,147.8844,16.588,16.1284,19.2983,2.7719,2.7667,2.7531,2.7,2.7,2.0537,1.1016,10.5131,0.9192,0.5684,0.1171,19.9887,30.1558,11.9373,43.1544,6.3238,16.686,2.806,33.9489,36.3489,54.1897
6462,2037,LOW,WA,34,41.5655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415,8.1471,0.0282,0.1828,6.6038,7.9515,17.6376,8.2449,17.3926,6.6139,2.017,4.5479,4.7631,4.5,4.5326,1.3799
6462,2037,MEDIUM,WA,41,30.2644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.0562,17.9661,11.9881,16.4064,4.7043,2.7222,3.1153,6.0227,0.2062,0.1286,5.4648,0.0555
6463,2032,HIGH,WA,1,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508,0.0,0.0,0.0,0.0,0.0
6463,2037,HIGH,WA,3,7.6771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8566,0.0,0.0,10.564,0.0,0.0491,0.0,0.0,0.0,0.0,0.0
6463,2037,LOW,WA,1,5.3765,4.5,4.5,3.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297
6463,2037,MEDIUM,WA,1,1.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2016,0.0,0.0,0.0
6465,2027,HIGH,WA,1,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342,0.0,0.0
6465,2032,HIGH,WA,8,0.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1313,0.0756,0.044,0.0662,0.0
6465,2032,LOW,WA,1,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6465,2032,MEDIUM,WA,1,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6465,2037,HIGH,WA,19,46.0038,0.1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346,0.0,0.0,8.0508,18.1073,4.7859,0.0648,0.0,0.0242,11.1547,0.0,15.7576,24.4459,22.1558,0.0
6465,2037,LOW,WA,7,29.0872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1553,8.6906,0.0,17.2318,17.8224,12.5209,3.7685,0.0,0.0,0.0,0.0
6465,2037,MEDIUM,WA,8,30.8922,9.8477,4.5,1.9662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,8.4196,22.8341,3.4022,4.5576,4.5326,4.5,5.7168
6466,2027,HIGH,WA,10,26.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171,0.0,0.0,11.5215,0.0,5.0407,0.0,0.0,0.0,0.0,4.9043,32.1708,0.0,0.0306,3.559,2.4608
6466,2032,HIGH,WA,54,82.9971,4.2266,4.0699,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,3.2004,14.196,1.0766,21.8773,45.3608,20.2843,19.0789,23.3096,9.1755,9.4728,1.8
6466,2032,LOW,WA,8,22.4661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0814,2.2158,0.0305,4.4874,1.4311,0.0,1.8981,20.8006,12.9937,0.1842
6466,2032,MEDIUM,WA,11,27.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0404,3.2867,0.0875,34.1617,2.6158,0.0539,3.8599,3.4127
6466,2037,HIGH,WA,109,269.302,10.2495,6.3186,6.4507,5.5822,4.4704,20.0963,19.5076,14.3925,0.9379,0.9,0.9,16.4038,14.086,8.4477,40.7109,27.9484,41.5769,71.8834,80.5863,26.4308,54.254,42.4767,61.1953,34.102
6466,2037,LOW,WA,46,89.674,0.0,0.0,0.0,0.0,0.0,0.0031,4.9579,0.0,0.0244,0.0,0.0,0.0817,6.6334,2.968,15.7695,23.3814,15.5411,0.0293,3.8432,68.5655,32.2003,10.2639,9.0357,10.7598
